tn;begin;end
1001258;10.07.2017;31.12.9999
1001259;17.09.2018;31.12.9999
1001260;01.09.2016;31.12.9999
1001262;01.09.2016;31.12.9999
1001264;17.06.2002;31.12.9999
1001265;03.06.1991;31.12.9999
1001266;23.12.2019;31.12.9999
1001268;01.01.2012;31.12.9999
1001270;08.02.2018;31.12.9999
1001271;01.01.2018;31.12.9999
1001272;01.09.2016;31.12.9999
1001273;01.08.2016;31.12.9999
1001274;12.03.2010;31.12.9999
1001275;17.06.2013;31.12.9999
1001277;22.03.2010;31.12.9999
1001278;01.07.2013;31.12.9999
1001279;10.04.2009;31.12.9999
1001280;11.10.2016;31.12.9999
1001282;01.06.2010;31.12.9999
1001285;22.03.2010;31.12.9999
1001286;28.07.2014;31.12.9999
1001287;01.09.2020;31.12.9999
1001288;01.10.2016;31.12.9999
1001290;01.01.2012;31.12.9999
1001293;18.12.2015;31.12.9999
1001294;30.05.2018;31.12.9999
1001295;01.07.2019;31.12.9999
1001296;01.10.2018;31.12.9999
1001297;28.12.2007;31.12.9999
1001297;01.01.2012;31.12.9999
1001297;01.09.2018;31.12.9999
1001298;16.07.2010;31.12.9999
1001300;06.05.2019;31.12.9999
1001304;01.01.2012;31.12.9999
1001304;17.01.2017;31.12.9999
1001305;01.04.2019;31.12.9999
1001308;01.01.2012;31.12.9999
1001311;22.01.2007;31.12.9999
1001315;27.08.2018;31.12.9999
1001318;06.09.2017;31.12.9999
1001319;01.07.2007;31.12.9999
1001320;28.09.2016;31.12.9999
1001321;18.04.2016;31.12.9999
1001322;01.06.2019;31.12.9999
1001323;01.07.2019;31.12.9999
1001324;23.01.2018;31.12.9999
1001325;09.10.2009;31.12.9999
1001325;01.01.2012;31.12.9999
1001326;01.07.2019;31.12.9999
1001327;01.07.2019;31.12.9999
1001328;01.01.2018;31.12.9999
1001329;19.02.2020;31.12.9999
1001330;06.11.2018;31.12.9999
1001333;23.12.2019;31.12.9999
1001335;06.02.2013;31.12.9999
1001336;01.08.2016;31.12.9999
1001338;01.01.2012;31.12.9999
1001338;16.06.2014;31.12.9999
1001339;01.02.2019;31.12.9999
1001341;23.03.2016;31.12.9999
1001342;01.01.2012;31.12.9999
1001343;02.04.2019;31.12.9999
1001344;01.01.2020;31.12.9999
1001345;01.01.2020;31.12.9999
1001346;22.01.2018;31.12.9999
1001348;06.04.2016;31.12.9999
1001349;25.07.2016;31.12.9999
1001353;01.01.2012;31.12.9999
1001353;17.11.2016;31.12.9999
1001354;19.08.2013;31.12.9999
1001355;15.09.2020;31.12.9999
1001356;21.09.2020;31.12.9999
1001357;15.09.2020;31.12.9999
1001359;28.09.2020;31.12.9999
1001361;15.09.2020;31.12.9999
1001362;01.01.2007;31.12.9999
1001364;01.05.2018;31.12.9999
1001366;30.12.2019;31.12.9999
1001367;21.05.2018;31.12.9999
1001368;24.08.2020;31.12.9999
1001369;22.01.2016;31.12.9999
1001370;12.08.2020;31.12.9999
1001371;15.08.2019;31.12.9999
1001372;01.11.2016;31.12.9999
1001374;01.07.2017;31.12.9999
1001375;23.12.2019;31.12.9999
1001376;02.08.2016;31.12.9999
