tn;begin;end
2301828;01.01.2018;31.12.9999
2301838;01.02.2006;31.12.9999
2301841;05.04.2010;31.12.9999
2301842;22.12.2018;31.12.9999
2301847;01.01.2014;31.12.9999
2301850;13.05.2019;31.12.9999
2301851;20.10.2008;31.12.9999
2301852;09.01.2018;31.12.9999
2301857;01.10.2017;31.12.9999
2301858;02.09.2013;31.12.9999
2301861;09.01.2018;31.12.9999
2301862;01.07.2016;31.12.9999
2301863;05.04.2016;31.12.9999
2301864;12.09.2016;31.12.9999
2301865;22.04.2019;31.12.9999
2301866;01.12.2019;31.12.9999
2301867;05.06.2017;31.12.9999
2301868;01.04.2013;31.12.9999
2301869;07.05.2013;31.12.9999
2301870;01.02.2019;31.12.9999
2301871;04.10.2010;31.12.9999
2301873;01.11.2001;31.12.9999
2301874;01.01.2014;31.12.9999
2301875;16.02.2016;31.12.9999
2301877;11.02.2020;31.12.9999
2301878;08.08.2018;31.12.9999
2301879;16.10.2017;31.12.9999
2301880;20.06.2006;31.12.9999
2301881;01.01.2020;31.12.9999
2301882;01.01.2020;31.12.9999
2301883;23.10.2006;31.12.9999
2301885;31.03.2015;31.12.9999
2301886;15.03.2004;31.12.9999
2301890;02.01.2018;31.12.9999
2301894;02.01.2018;31.12.9999
2301895;09.01.2019;31.12.9999
2301896;03.01.2020;31.12.9999
2301897;02.01.2013;31.12.9999
2301897;01.01.2020;31.12.9999
2301898;25.09.2019;31.12.9999
2301899;01.01.2014;31.12.9999
2301901;01.10.2017;31.12.9999
2301902;05.08.1992;31.12.9999
2301903;17.08.1993;31.12.9999
2301904;01.06.2017;31.12.9999
2301905;02.03.2017;31.12.9999
2301906;01.06.2017;31.12.9999
2301907;01.06.2017;31.12.9999
2301909;02.01.2018;31.12.9999
2301910;05.02.2019;31.12.9999
2301911;01.06.2017;31.12.9999
2301912;01.06.2017;31.12.9999
2301913;16.08.2006;31.12.9999
2301916;01.12.2019;31.12.9999
2301917;21.12.2018;31.12.9999
2301919;01.12.2019;31.12.9999
2301920;01.12.2019;31.12.9999
2301921;01.12.2019;31.12.9999
2301925;01.12.2019;31.12.9999
2301927;01.12.2019;31.12.9999
2301930;01.12.2019;31.12.9999
2301931;09.04.2018;31.12.9999
2301932;01.01.2018;31.12.9999
2301933;01.11.2012;31.12.9999
2301934;01.10.2017;31.12.9999
2301935;01.10.2017;31.12.9999
2301936;09.01.2020;31.12.9999
