tn;begin;end
800882;01.01.2013;31.12.9999
800887;01.11.2018;31.12.9999
800891;13.04.2020;31.12.9999
800898;01.02.2012;31.12.9999
800904;11.11.2013;31.12.9999
800908;10.12.2018;31.12.9999
800909;17.08.2020;31.12.9999
800910;01.01.2019;31.12.9999
800913;02.04.2018;31.12.9999
800916;25.02.2020;31.12.9999
800919;21.08.2017;31.12.9999
800922;01.11.2018;31.12.9999
800936;01.06.2019;31.12.9999
800938;17.03.2020;31.12.9999
800939;01.11.2012;31.12.9999
800941;01.05.2008;31.12.9999
800942;01.06.2019;31.12.9999
800943;19.04.2016;31.12.9999
800944;22.04.2013;31.12.9999
800945;28.10.2014;31.12.9999
800946;17.08.2020;31.12.9999
800947;11.03.2013;31.12.9999
800948;24.02.2015;31.12.9999
800949;06.05.2020;31.12.9999
800951;02.03.2020;31.12.9999
800952;01.08.2019;31.12.9999
800953;25.07.2012;31.12.9999
800962;16.08.2007;31.12.9999
800963;07.06.2016;31.12.9999
800964;26.10.2019;31.12.9999
800968;01.03.2016;31.12.9999
800982;07.08.2017;31.12.9999
800989;01.03.2019;31.12.9999
800994;01.03.2019;31.12.9999
800996;10.09.2018;31.12.9999
800997;01.03.2019;31.12.9999
800998;01.03.2019;31.12.9999
800999;03.07.2017;31.12.9999
801000;01.05.2008;31.12.9999
801003;01.11.2018;31.12.9999
801021;01.11.2018;31.12.9999
801024;01.11.2018;31.12.9999
801028;01.01.2016;31.12.9999
801030;01.03.2019;31.12.9999
801033;01.03.2019;31.12.9999
801038;01.03.2019;31.12.9999
801043;01.08.2018;31.12.9999
801044;02.04.2018;31.12.9999
801045;01.11.2018;31.12.9999
801047;01.11.2018;31.12.9999
801048;01.07.2019;31.12.9999
801049;14.08.2017;31.12.9999
801051;19.11.2015;31.12.9999
801058;01.11.2019;31.12.9999
801061;01.11.2019;31.12.9999
801062;01.11.2019;31.12.9999
801065;01.07.2016;31.12.9999
801066;08.07.2019;31.12.9999
801068;01.01.2014;31.12.9999
801071;13.04.2020;31.12.9999
801083;14.08.2017;31.12.9999
801084;01.07.2014;31.12.9999
801085;07.08.2017;31.12.9999
801088;16.06.1993;31.12.9999
801097;16.08.2019;31.12.9999
801098;06.05.2020;31.12.9999
801102;15.02.2012;31.12.9999
801112;12.05.2020;31.12.9999
801114;01.11.2018;31.12.9999
801115;01.11.2018;31.12.9999
801117;01.11.2019;31.12.9999
801130;22.04.2019;31.12.9999
801132;01.11.2018;31.12.9999
801144;20.06.2020;31.12.9999
801147;17.02.2020;31.12.9999
801148;01.11.2018;31.12.9999
801154;15.12.2018;31.12.9999
801156;01.02.2019;31.12.9999
801159;18.02.2020;31.12.9999
801161;01.04.2020;31.12.9999
801164;01.02.2019;31.12.9999
801166;16.10.2020;31.12.9999
801169;02.12.2019;31.12.9999
801170;01.07.2020;31.12.9999
801172;13.04.2020;31.12.9999
801176;01.01.2010;31.12.9999
801182;11.01.2017;31.12.9999
801184;18.03.2019;31.12.9999
801186;09.02.2011;31.12.9999
801188;20.02.2018;31.12.9999
801189;01.05.2007;31.12.9999
801191;01.05.2020;31.12.9999
801195;17.07.2015;31.12.9999
801201;01.03.2010;31.12.9999
801202;26.06.2017;31.12.9999
801204;07.06.2019;31.12.9999
801207;13.12.2011;31.12.9999
801209;06.10.2009;31.12.9999
801210;27.09.2010;31.12.9999
801220;01.02.2019;31.12.9999
801221;01.11.2018;31.12.9999
801222;01.11.2018;31.12.9999
801224;01.11.2018;31.12.9999
801229;01.11.2018;31.12.9999
801230;16.01.2018;31.12.9999
801232;01.06.2011;31.12.9999
801235;08.11.2018;31.12.9999
801240;16.08.2019;31.12.9999
801241;03.02.2020;31.12.9999
801246;01.09.2017;31.12.9999
801249;01.02.2019;31.12.9999
801254;01.02.2020;31.12.9999
801259;01.11.2018;31.12.9999
801261;01.02.2020;31.12.9999
801263;01.01.2019;31.12.9999
801275;03.06.2010;31.12.9999
801277;01.10.2015;31.12.9999
801278;01.05.2007;31.12.9999
801280;01.11.2018;31.12.9999
801283;28.08.2015;31.12.9999
801286;27.11.2018;31.12.9999
801287;01.11.2018;31.12.9999
801288;16.11.2018;31.12.9999
801289;01.12.2015;31.12.9999
801290;01.11.2018;31.12.9999
801291;01.11.2018;31.12.9999
801293;09.09.2019;31.12.9999
801294;01.11.2018;31.12.9999
801295;23.07.2020;31.12.9999
801297;01.03.2019;31.12.9999
801318;01.08.2019;31.12.9999
801327;01.03.2019;31.12.9999
801328;01.11.2018;31.12.9999
801329;11.02.2019;31.12.9999
801331;02.09.2019;31.12.9999
801335;08.07.2019;31.12.9999
801336;10.07.2018;31.12.9999
801338;01.01.2019;31.12.9999
801339;19.12.2018;31.12.9999
801340;15.06.2020;31.12.9999
801341;01.04.2020;31.12.9999
801342;01.12.2018;31.12.9999
801343;14.12.2016;31.12.9999
