tn;begin;end
1601452;15.09.2017;31.12.9999
1601453;17.04.2007;31.12.9999
1601454;09.02.2015;31.12.9999
1601456;18.04.2016;31.12.9999
1601457;05.01.1991;31.12.9999
1601460;07.06.2000;31.12.9999
1601462;17.11.2015;31.12.9999
1601467;08.11.2007;31.12.9999
1601469;22.11.2007;31.12.9999
1601473;28.05.2014;31.12.9999
1601474;24.03.2008;31.12.9999
1601477;19.03.2018;31.12.9999
1601478;05.08.2008;31.12.9999
1601482;22.10.2004;31.12.9999
1601483;28.05.2014;31.12.9999
1601484;17.12.2013;31.12.9999
1601485;02.08.1993;31.12.9999
1601486;08.09.2015;31.12.9999
1601490;06.03.2000;31.12.9999
1601492;22.10.2004;31.12.9999
1601494;23.04.2010;31.12.9999
1601497;15.02.1993;31.12.9999
1601498;01.01.2017;31.12.9999
1601500;05.05.2014;31.12.9999
1601501;09.02.2009;31.12.9999
1601503;18.02.1997;31.12.9999
1601506;01.11.2017;31.12.9999
1601507;01.08.2007;31.12.9999
1601508;10.09.2014;31.12.9999
1601517;18.08.2009;31.12.9999
1601519;21.10.2004;31.12.9999
1601520;21.01.2003;31.12.9999
1601525;01.01.2017;31.12.9999
1601526;21.04.2011;31.12.9999
1601528;12.03.2015;31.12.9999
1601529;05.09.1994;31.12.9999
1601530;30.11.2005;31.12.9999
1601531;30.05.2012;31.12.9999
1601532;05.10.2015;31.12.9999
1601534;28.05.2014;31.12.9999
1601535;22.06.1994;31.12.9999
1601536;20.12.2000;31.12.9999
1601539;29.02.1988;31.12.9999
1601540;20.09.2016;31.12.9999
1601541;01.09.2016;31.12.9999
1601543;20.05.2009;31.12.9999
1601545;01.08.2008;31.12.9999
1601546;13.02.1995;31.12.9999
1601547;16.01.2003;31.12.9999
1601552;27.11.2006;31.12.9999
1601552;20.08.2019;31.12.9999
1601553;29.02.1988;31.12.9999
1601558;05.11.2008;31.12.9999
1601559;03.08.2009;31.12.9999
1601560;06.04.2015;31.12.9999
1601561;19.06.2012;31.12.9999
1601562;07.08.2000;31.12.9999
1601563;09.07.2012;31.12.9999
1601564;01.08.2008;31.12.9999
1601565;30.12.2018;31.12.9999
1601567;29.02.1988;31.12.9999
1601568;12.09.2009;31.12.9999
1601569;12.03.2013;31.12.9999
1601570;02.03.1992;31.12.9999
1601571;05.08.2002;31.12.9999
1601573;10.11.2015;31.12.9999
1601574;03.04.1998;31.12.9999
1601576;26.03.1996;31.12.9999
1601577;02.02.2000;31.12.9999
1601578;15.09.2017;31.12.9999
1601579;22.02.1993;31.12.9999
1601580;23.07.2007;31.12.9999
1601581;04.10.2010;31.12.9999
1601583;30.05.2008;31.12.9999
1601584;28.05.2014;31.12.9999
1601586;02.11.2009;31.12.9999
1601587;18.10.1999;31.12.9999
1601588;23.08.2005;31.12.9999
1601589;07.09.1993;31.12.9999
1601590;30.12.2004;31.12.9999
1601591;29.02.1988;31.12.9999
1601596;14.01.2020;31.12.9999
1601598;04.05.2016;31.12.9999
1601601;28.05.2014;31.12.9999
1601602;26.03.2007;31.12.9999
1601606;01.10.2004;31.12.9999
1601607;03.04.1996;31.12.9999
1601608;06.07.2011;31.12.9999
1601610;26.04.1996;31.12.9999
1601611;15.07.2004;31.12.9999
1601612;06.06.2012;31.12.9999
1601615;14.05.2018;31.12.9999
1601617;01.11.2017;31.12.9999
1601647;13.03.2013;31.12.9999
1601661;24.01.2020;31.12.9999
1601664;10.07.2015;31.12.9999
1601671;02.04.2014;31.12.9999
1601677;12.01.2015;31.12.9999
1601762;10.10.2018;31.12.9999
1601766;16.03.2020;31.12.9999
1601767;22.07.2008;31.12.9999
1601768;01.07.2016;31.12.9999
1601769;19.05.2008;31.12.9999
1601770;25.09.2006;31.12.9999
1601771;21.01.2009;31.12.9999
1601778;03.09.2018;31.12.9999
1601780;01.10.2013;31.12.9999
1601782;12.02.2016;31.12.9999
1601783;13.11.2006;31.12.9999
1601784;03.03.2003;31.12.9999
1601785;15.12.2008;31.12.9999
1601787;07.02.2011;31.12.9999
1601788;09.04.2012;31.12.9999
1601789;14.05.2012;31.12.9999
1601790;25.02.2013;31.12.9999
1601792;29.08.2016;31.12.9999
1601793;06.11.2012;31.12.9999
1601794;01.06.2016;31.12.9999
1601795;03.09.2018;31.12.9999
1601797;01.01.2015;31.12.9999
1601798;23.08.2004;31.12.9999
1601799;09.10.2007;31.12.9999
1601800;01.04.1997;31.12.9999
1601802;21.03.2016;31.12.9999
1601804;21.03.2016;31.12.9999
1601805;01.01.2017;31.12.9999
1601805;14.09.2020;31.12.9999
1601806;28.03.1994;31.12.9999
1601807;07.02.2012;31.12.9999
1601808;16.01.2007;31.12.9999
1601810;07.04.2008;31.12.9999
1601813;01.08.2007;31.12.9999
1601815;21.03.2016;31.12.9999
1601817;01.10.2013;31.12.9999
1601818;01.04.2008;31.12.9999
1601819;31.12.2013;31.12.9999
1601820;16.01.2007;31.12.9999
1601822;11.09.2017;31.12.9999
1601825;26.10.2018;31.12.9999
1601826;25.11.2013;31.12.9999
1601828;24.03.1997;31.12.9999
1601830;02.08.2019;31.12.9999
1601833;11.09.2009;31.12.9999
1601835;15.06.2009;31.12.9999
1601835;15.11.2018;31.12.9999
1601838;29.03.2011;31.12.9999
1601839;01.01.2017;31.12.9999
1601841;25.07.2000;31.12.9999
1601842;17.08.2020;31.12.9999
1601843;15.02.2013;31.12.9999
1601844;25.03.2003;31.12.9999
1601846;11.01.2011;31.12.9999
1601847;03.05.2018;31.12.9999
1601849;27.07.2012;31.12.9999
1601850;06.01.2004;31.12.9999
1601851;21.11.2012;31.12.9999
1601852;29.12.2018;31.12.9999
1601853;15.07.2014;31.12.9999
1601854;21.03.2016;31.12.9999
1601857;15.11.2018;31.12.9999
1601858;01.10.2008;31.12.9999
1601859;03.12.2018;31.12.9999
1601861;09.12.2019;31.12.9999
1601862;19.03.2008;31.12.9999
1601862;01.09.2015;31.12.9999
1601862;26.12.2018;31.12.9999
1601863;16.01.2017;31.12.9999
1601864;03.04.2013;31.12.9999
1601865;06.11.2012;31.12.9999
1601868;06.11.2012;31.12.9999
1601869;21.03.2016;31.12.9999
1601871;01.10.2009;31.12.9999
1601872;25.07.2001;31.12.9999
1601876;01.03.1999;31.12.9999
1601878;15.02.2008;31.12.9999
1601879;21.11.2011;31.12.9999
1601882;17.10.2018;31.12.9999
1601885;21.03.2016;31.12.9999
1601886;01.01.2017;31.12.9999
1601887;21.03.2016;31.12.9999
1601892;05.04.2013;31.12.9999
1601894;06.11.2012;31.12.9999
1601899;13.05.2010;31.12.9999
1601901;25.03.2016;31.12.9999
1601903;07.11.2011;31.12.9999
1601906;01.07.2016;31.12.9999
1601907;01.08.2019;31.12.9999
1601909;13.10.2004;31.12.9999
1601909;26.12.2018;31.12.9999
1601910;01.01.2016;31.12.9999
1601911;28.04.2003;31.12.9999
1601912;01.01.2016;31.12.9999
1601914;12.02.2009;31.12.9999
1601915;07.07.2015;31.12.9999
1601917;12.11.2012;31.12.9999
1601919;14.01.2005;31.12.9999
1601921;10.07.2019;31.12.9999
1601926;25.03.2016;31.12.9999
1601929;26.03.2003;31.12.9999
1601932;01.07.2005;31.12.9999
1601934;21.06.2019;31.12.9999
1601935;18.02.1999;31.12.9999
1601936;01.01.2017;31.12.9999
1601937;01.09.2016;31.12.9999
1601939;18.03.2013;31.12.9999
1601941;07.08.2017;31.12.9999
1601942;01.07.2016;31.12.9999
1601943;15.04.2019;31.12.9999
1601944;21.03.2016;31.12.9999
1601945;07.09.2009;31.12.9999
1601946;19.12.2008;31.12.9999
1601948;14.11.2011;31.12.9999
1601951;22.12.2008;31.12.9999
1601952;21.03.2016;31.12.9999
1601953;21.03.2016;31.12.9999
1601955;28.08.2006;31.12.9999
1601956;21.03.2016;31.12.9999
1601957;14.02.2003;31.12.9999
1601958;02.03.2009;31.12.9999
1601959;10.11.2006;31.12.9999
1601960;06.11.2012;31.12.9999
1601961;20.06.2008;31.12.9999
1601985;10.01.2012;31.12.9999
1601996;26.01.2018;31.12.9999
1602024;11.10.2012;31.12.9999
1602035;02.08.2019;31.12.9999
1602057;30.03.2020;31.12.9999
1602077;02.12.2019;31.12.9999
1602112;10.10.2018;31.12.9999
1602140;20.12.2017;31.12.9999
1602142;23.07.2018;31.12.9999
