tn;begin;end
2402785;01.01.2016;31.12.9999
2402786;04.08.2015;31.12.9999
2402789;18.04.2011;31.12.9999
2402791;29.12.2018;31.12.9999
2402792;08.06.2020;31.12.9999
2402794;30.12.2010;31.12.9999
2402795;07.07.2015;31.12.9999
2402796;01.04.2008;31.12.9999
2402797;06.09.2007;31.12.9999
2402798;02.04.2007;31.12.9999
2402799;12.12.2011;31.12.9999
2402800;08.07.2016;31.12.9999
2402801;03.06.2020;31.12.9999
2402802;16.05.2007;31.12.9999
2402805;15.08.2016;31.12.9999
2402806;01.02.2018;31.12.9999
2402807;05.02.2016;31.12.9999
2402809;02.08.2016;31.12.9999
2402810;01.01.2013;31.12.9999
2402811;13.01.2018;31.12.9999
2402814;08.04.2009;31.12.9999
2402815;06.06.2018;31.12.9999
2402816;01.06.2015;31.12.9999
2402817;23.01.2014;31.12.9999
2402820;07.12.2018;31.12.9999
2402821;16.01.2019;31.12.9999
2402822;03.08.2009;31.12.9999
2402823;02.03.2018;31.12.9999
2402824;22.04.2014;31.12.9999
2402825;01.01.2013;31.12.9999
2402826;09.01.2019;31.12.9999
2402827;01.09.2014;31.12.9999
2402829;29.05.2018;31.12.9999
2402832;20.03.2003;31.12.9999
2402833;28.11.2011;31.12.9999
2402834;25.12.2015;31.12.9999
2402835;06.04.2020;31.12.9999
2402836;05.10.2015;31.12.9999
2402837;17.11.2005;31.12.9999
2402838;01.03.2018;31.12.9999
2402840;14.04.2017;31.12.9999
2402841;03.02.2016;31.12.9999
2402842;01.02.2018;31.12.9999
2402843;01.08.2019;31.12.9999
2402844;16.07.2018;31.12.9999
2402848;01.11.2019;31.12.9999
2402852;15.01.2018;31.12.9999
2402855;01.03.2018;31.12.9999
2402858;07.12.2010;31.12.9999
2402859;04.10.2019;31.12.9999
2402860;22.01.2015;31.12.9999
2402861;16.10.2017;31.12.9999
2402863;06.12.2011;31.12.9999
2402866;13.01.2015;31.12.9999
2402867;15.12.2014;31.12.9999
2402868;01.03.2018;31.12.9999
2402869;01.08.2016;31.12.9999
2402870;22.03.2017;31.12.9999
2402871;13.03.2014;31.12.9999
2402873;01.02.2009;31.12.9999
2402874;19.03.2018;31.12.9999
2402875;01.02.2018;31.12.9999
2402877;05.10.2020;31.12.9999
2402878;21.03.2018;31.12.9999
2402880;14.10.2019;31.12.9999
2402882;01.03.2018;31.12.9999
2402883;01.03.2018;31.12.9999
2402886;30.03.2017;31.12.9999
2402889;02.07.2012;31.12.9999
2402894;05.09.2016;31.12.9999
2402903;01.03.2018;31.12.9999
2402904;23.12.2019;31.12.9999
2402906;26.12.2004;31.12.9999
2402908;01.02.2018;31.12.9999
2402910;23.11.2018;31.12.9999
2402916;12.03.1999;31.12.9999
2402917;25.11.1999;31.12.9999
2402917;14.01.2015;31.12.9999
2402917;01.07.2020;31.12.9999
2402918;01.01.2016;31.12.9999
2402920;02.04.2012;31.12.9999
2402923;10.01.2018;31.12.9999
2402924;08.06.2016;31.12.9999
2402925;12.08.2014;31.12.9999
2402926;23.07.2013;31.12.9999
2402928;09.03.2016;31.12.9999
2402931;12.01.2012;31.12.9999
2402938;19.04.1988;31.12.9999
2402943;20.12.2010;31.12.9999
2402945;12.07.2013;31.12.9999
2402950;19.01.2015;31.12.9999
2402957;01.02.2018;31.12.9999
2402960;07.11.2016;31.12.9999
2402962;19.01.2018;31.12.9999
2402963;01.11.2012;31.12.9999
2402964;08.06.2015;31.12.9999
2402966;13.05.2013;31.12.9999
2402967;10.01.2013;31.12.9999
2402975;02.12.2019;31.12.9999
2402976;17.12.2012;31.12.9999
2402977;05.09.2014;31.12.9999
2402978;19.08.2013;31.12.9999
2402979;09.07.2008;31.12.9999
2402981;01.03.2018;31.12.9999
2402982;09.01.2018;31.12.9999
2402986;14.08.1990;31.12.9999
2402988;22.02.1993;31.12.9999
2402992;01.02.2018;31.12.9999
2402993;01.06.1995;31.12.9999
2403001;28.04.2018;31.12.9999
2403002;01.02.2018;31.12.9999
2403007;27.01.1993;31.12.9999
2403008;05.05.1992;31.12.9999
2403014;12.02.2018;31.12.9999
2403044;01.01.2016;31.12.9999
2403045;06.08.1998;31.12.9999
2403047;01.02.2018;31.12.9999
2403050;09.10.2017;31.12.9999
2403051;09.01.2017;31.12.9999
2403053;04.10.2011;31.12.9999
2403055;01.01.2017;31.12.9999
2403056;03.03.2015;31.12.9999
2403061;12.10.2016;31.12.9999
2403065;22.07.2019;31.12.9999
2403067;03.10.2018;31.12.9999
2403068;20.07.2015;31.12.9999
2403069;01.01.2016;31.12.9999
2403071;11.12.2013;31.12.9999
2403073;08.07.2013;31.12.9999
2403074;04.03.2019;31.12.9999
2403075;01.02.2018;31.12.9999
2403076;11.02.2020;31.12.9999
2403077;01.01.2016;31.12.9999
2403079;01.01.2016;31.12.9999
2403080;22.06.2007;31.12.9999
2403081;10.02.2020;31.12.9999
2403083;01.12.2009;31.12.9999
2403084;01.02.2018;31.12.9999
2403085;27.07.2017;31.12.9999
2403088;11.01.2011;31.12.9999
2403089;05.02.2010;31.12.9999
2403091;04.05.2008;31.12.9999
2403092;15.11.2002;31.12.9999
2403093;01.07.2019;31.12.9999
2403094;21.05.2012;31.12.9999
2403095;06.08.2013;31.12.9999
2403096;01.02.2018;31.12.9999
2403099;12.09.2017;31.12.9999
2403100;01.06.2011;31.12.9999
2403104;04.11.2002;31.12.9999
2403105;19.04.2005;31.12.9999
2403106;27.03.2003;31.12.9999
2403108;19.11.2019;31.12.9999
2403110;13.11.2017;31.12.9999
2403111;24.12.2007;31.12.9999
2403115;18.02.2011;31.12.9999
2403116;01.11.2004;31.12.9999
2403117;01.03.2007;31.12.9999
2403119;01.11.2019;31.12.9999
2403120;13.11.2017;31.12.9999
2403121;20.06.2016;31.12.9999
2403122;12.10.2018;31.12.9999
2403126;01.02.2018;31.12.9999
2403127;26.04.2010;31.12.9999
2403128;12.08.2019;31.12.9999
2403130;02.08.2016;31.12.9999
2403131;01.02.2018;31.12.9999
2403132;01.08.2020;31.12.9999
2403133;01.08.2020;31.12.9999
2403134;01.08.2020;31.12.9999
2403135;01.08.2020;31.12.9999
2403137;01.08.2020;31.12.9999
2403140;23.07.2012;31.12.9999
2403141;11.10.2011;31.12.9999
2403142;28.08.2015;31.12.9999
2403143;12.01.2016;31.12.9999
2403145;01.02.2018;31.12.9999
2403146;25.04.2012;31.12.9999
2403148;01.03.2018;31.12.9999
2403149;03.01.2002;31.12.9999
2403151;20.10.2015;31.12.9999
2403152;01.04.2018;31.12.9999
2403153;28.06.2017;31.12.9999
2403154;01.02.2018;31.12.9999
2403156;22.08.2014;31.12.9999
2403157;08.04.2020;31.12.9999
2403160;04.04.2018;31.12.9999
2403161;01.03.2018;31.12.9999
2403164;01.07.2020;31.12.9999
2403166;18.03.2011;31.12.9999
2403169;26.03.2018;31.12.9999
2403170;01.07.2020;31.12.9999
2403173;16.07.2012;31.12.9999
2403174;11.09.2019;31.12.9999
2403175;01.02.2018;31.12.9999
2403176;01.03.2018;31.12.9999
2403177;01.03.2018;31.12.9999
2403179;01.07.2020;31.12.9999
2403180;01.03.2015;31.12.9999
2403181;01.02.2018;31.12.9999
2403182;01.07.2020;31.12.9999
2403184;19.08.2010;31.12.9999
2403185;01.02.2018;31.12.9999
2403187;01.02.2018;31.12.9999
2403188;12.01.2016;31.12.9999
2403190;01.02.2018;31.12.9999
2403191;03.09.2018;31.12.9999
2403193;10.11.2004;31.12.9999
2403195;21.10.2014;31.12.9999
2403196;01.03.2018;31.12.9999
2403197;01.02.2018;31.12.9999
2403198;01.03.2019;31.12.9999
2403200;01.02.2018;31.12.9999
2403201;01.04.2018;31.12.9999
2403202;08.06.2004;31.12.9999
2403203;09.01.2008;31.12.9999
2403204;16.03.2018;31.12.9999
2403205;01.02.2018;31.12.9999
2403206;01.04.2018;31.12.9999
2403207;07.02.2018;31.12.9999
2403208;01.06.2020;31.12.9999
2403211;01.04.2018;31.12.9999
2403212;01.02.2018;31.12.9999
2403213;01.02.2018;31.12.9999
2403214;01.04.2018;31.12.9999
2403215;01.08.2014;31.12.9999
2403216;20.03.2014;31.12.9999
2403217;01.04.2018;31.12.9999
2403222;06.09.2010;31.12.9999
2403223;09.08.2011;31.12.9999
2403223;07.02.2017;31.12.9999
2403224;28.12.2011;31.12.9999
2403225;01.02.2018;31.12.9999
2403226;24.01.2019;31.12.9999
2403229;01.02.2018;31.12.9999
2403230;11.11.2008;31.12.9999
2403231;14.03.2005;31.12.9999
2403232;04.07.2016;31.12.9999
2403235;21.01.2019;31.12.9999
2403236;01.07.2020;31.12.9999
2403237;03.02.2014;31.12.9999
2403238;02.06.2014;31.12.9999
2403239;21.02.2013;31.12.9999
2403240;21.01.2019;31.12.9999
2403241;01.03.2018;31.12.9999
2403242;01.03.2018;31.12.9999
2403246;14.08.2019;31.12.9999
2403249;01.03.2018;31.12.9999
2403252;12.10.2016;31.12.9999
2403255;13.01.2015;31.12.9999
2403257;05.02.2019;31.12.9999
2403258;13.01.2014;31.12.9999
2403259;31.12.2014;31.12.9999
2403260;25.06.2019;31.12.9999
2403261;17.12.2007;31.12.9999
2403262;16.01.2012;31.12.9999
2403263;03.06.2008;31.12.9999
2403264;23.10.1995;31.12.9999
2403265;16.10.2017;31.12.9999
2403266;11.01.2016;31.12.9999
2403268;01.04.2011;31.12.9999
2403269;03.10.2011;31.12.9999
2403270;01.04.2018;31.12.9999
2403271;07.11.2017;31.12.9999
2403273;07.04.2014;31.12.9999
2403274;18.02.2011;31.12.9999
2403277;01.03.2016;31.12.9999
2403280;21.03.2016;31.12.9999
2403282;08.07.2014;31.12.9999
2403285;01.03.2018;31.12.9999
2403287;17.01.2020;31.12.9999
2403288;01.03.2018;31.12.9999
2403290;02.11.2011;31.12.9999
2403292;01.01.2014;31.12.9999
2403293;19.10.2009;31.12.9999
2403294;04.11.2018;31.12.9999
2403295;10.07.2006;31.12.9999
2403296;13.03.2007;31.12.9999
2403297;18.12.2018;31.12.9999
2403298;15.06.2009;31.12.9999
2403300;11.05.2010;31.12.9999
2403301;11.12.2017;31.12.9999
2403302;01.02.2016;31.12.9999
2403302;01.03.2018;31.12.9999
2403303;22.11.1993;31.12.9999
2403304;09.01.2020;31.12.9999
2403305;01.09.2013;31.12.9999
2403306;11.07.2018;31.12.9999
2403307;01.02.2018;31.12.9999
2403308;09.01.2014;31.12.9999
2403310;24.05.1999;31.12.9999
2403312;02.02.2004;31.12.9999
2403313;26.04.2007;31.12.9999
2403314;26.08.2013;31.12.9999
2403317;07.08.1989;31.12.9999
2403318;05.07.2007;31.12.9999
2403319;01.02.2019;31.12.9999
2403320;01.02.2018;31.12.9999
2403322;12.08.2019;31.12.9999
2403323;01.02.2016;31.12.9999
2403325;01.02.2018;31.12.9999
2403326;06.11.2018;31.12.9999
2403327;03.10.2017;31.12.9999
2403328;24.07.2013;31.12.9999
2403329;01.08.2012;31.12.9999
2403330;14.08.2012;31.12.9999
2403331;01.10.2009;31.12.9999
2403332;01.09.2009;31.12.9999
2403333;01.02.2018;31.12.9999
2403334;01.02.2018;31.12.9999
2403335;01.08.2008;31.12.9999
2403336;12.02.2013;31.12.9999
2403337;01.04.2018;31.12.9999
2403338;13.05.2008;31.12.9999
2403340;17.02.1992;31.12.9999
2403344;17.05.2016;31.12.9999
2403345;26.02.2013;31.12.9999
2403346;25.01.2019;31.12.9999
2403348;22.07.2013;31.12.9999
2403350;21.09.2018;31.12.9999
2403351;01.04.2018;31.12.9999
2403353;29.06.2016;31.12.9999
2403354;08.08.2018;31.12.9999
2403355;01.04.2018;31.12.9999
2403356;03.05.2011;31.12.9999
2403357;15.01.2018;31.12.9999
2403358;01.10.2011;31.12.9999
2403360;22.07.2020;31.12.9999
2403362;02.09.2019;31.12.9999
2403363;09.01.2008;31.12.9999
2403366;21.11.2016;31.12.9999
2403370;27.02.2006;31.12.9999
2403371;01.03.2018;31.12.9999
2403372;01.04.2018;31.12.9999
2403373;01.03.2018;31.12.9999
2403374;01.04.2011;31.12.9999
2403375;27.11.2019;31.12.9999
2403376;01.04.2018;31.12.9999
2403378;01.04.2018;31.12.9999
2403379;01.04.2018;31.12.9999
2403380;01.02.2018;31.12.9999
2403381;01.02.2018;31.12.9999
2403382;06.07.2020;31.12.9999
2403383;01.02.2018;31.12.9999
2403385;13.12.2010;31.12.9999
2403388;01.04.2020;31.12.9999
2403389;01.04.2018;31.12.9999
2403390;22.11.2011;31.12.9999
2403391;01.02.2018;31.12.9999
2403392;01.04.2009;31.12.9999
2403393;30.12.2018;31.12.9999
2403395;01.04.2018;31.12.9999
2403398;01.03.2018;31.12.9999
2403400;01.02.2018;31.12.9999
2403401;03.02.2020;31.12.9999
2403403;01.04.2018;31.12.9999
2403404;02.08.2018;31.12.9999
2403405;01.02.2018;31.12.9999
2403406;03.10.2011;31.12.9999
2403408;01.04.2018;31.12.9999
2403409;01.04.2018;31.12.9999
2403413;19.03.2013;31.12.9999
2403416;01.04.2018;31.12.9999
2403417;01.02.2018;31.12.9999
2403418;01.03.2019;31.12.9999
2403419;24.10.2011;31.12.9999
2403420;27.12.2013;31.12.9999
2403421;22.08.2007;31.12.9999
2403422;01.07.1998;31.12.9999
2403423;01.04.2018;31.12.9999
2403424;03.09.2018;31.12.9999
2403425;16.11.2011;31.12.9999
2403426;09.08.2018;31.12.9999
2403427;27.12.2013;31.12.9999
2403430;09.01.2019;31.12.9999
2403431;01.04.2018;31.12.9999
2403433;11.08.2020;31.12.9999
2403435;01.03.2018;31.12.9999
2403436;01.04.2018;31.12.9999
2403437;26.09.2011;31.12.9999
2403439;16.06.2006;31.12.9999
2403440;11.09.2020;31.12.9999
2403441;06.05.2015;31.12.9999
2403442;11.03.2014;31.12.9999
2403444;01.02.2018;31.12.9999
2403446;30.12.2011;31.12.9999
2403448;21.10.2019;31.12.9999
2403449;21.10.2014;31.12.9999
2403451;09.03.2010;31.12.9999
2403452;26.02.2013;31.12.9999
2403456;01.04.2018;31.12.9999
2403457;01.04.2018;31.12.9999
2403458;20.08.2020;31.12.9999
2403460;01.03.2018;31.12.9999
2403463;19.08.2009;31.12.9999
2403466;01.02.2016;31.12.9999
2403467;30.09.2016;31.12.9999
2403468;22.01.2016;31.12.9999
2403469;01.02.2018;31.12.9999
2403470;02.09.2019;31.12.9999
2403471;01.01.2016;31.12.9999
2403472;01.03.2008;31.12.9999
2403473;09.09.2013;31.12.9999
2403474;28.05.2019;31.12.9999
2403475;09.11.2018;31.12.9999
2403476;09.11.2018;31.12.9999
2403478;26.12.2018;31.12.9999
2403479;25.12.2017;31.12.9999
2403481;01.03.2019;31.12.9999
2403485;01.04.2018;31.12.9999
2403486;13.01.2016;31.12.9999
2403487;01.04.2018;31.12.9999
2403488;05.07.2010;31.12.9999
2403489;01.01.2013;31.12.9999
2403494;27.03.2003;31.12.9999
2403495;06.01.1994;31.12.9999
2403497;01.04.2018;31.12.9999
2403498;01.02.2018;31.12.9999
2403500;01.03.2018;31.12.9999
2403504;01.03.2018;31.12.9999
2403505;22.05.2007;31.12.9999
2403507;01.02.2018;31.12.9999
2403508;01.02.2018;31.12.9999
2403510;01.04.2018;31.12.9999
2403511;01.03.2007;31.12.9999
2403512;01.08.2013;31.12.9999
2403513;26.02.2013;31.12.9999
2403516;28.12.2017;31.12.9999
2403517;25.06.2012;31.12.9999
2403521;01.02.2018;31.12.9999
2403522;14.07.2002;31.12.9999
2403523;01.02.2017;31.12.9999
2403524;01.02.2018;31.12.9999
2403525;17.12.2007;31.12.9999
2403526;01.02.2018;31.12.9999
2403527;18.12.2012;31.12.9999
2403528;24.01.2018;31.12.9999
2403529;01.02.2018;31.12.9999
2403530;25.06.2020;31.12.9999
2403531;20.11.2017;31.12.9999
2403532;01.02.2018;31.12.9999
2403539;01.02.2018;31.12.9999
2403540;20.08.1998;31.12.9999
2403541;01.02.2018;31.12.9999
2403542;09.01.2019;31.12.9999
2403543;13.07.2015;31.12.9999
2403545;01.02.2019;31.12.9999
2403546;18.12.2015;31.12.9999
2403550;01.02.2018;31.12.9999
2403551;01.02.2018;31.12.9999
2403552;01.04.2020;31.12.9999
2403553;02.04.2018;31.12.9999
2403556;01.02.2018;31.12.9999
2403558;10.01.2019;31.12.9999
2403559;15.08.2019;31.12.9999
2403561;01.03.2018;31.12.9999
2403562;01.04.2018;31.12.9999
2403563;25.06.2013;31.12.9999
2403564;01.04.2018;31.12.9999
2403566;15.08.2000;31.12.9999
2403567;10.01.2018;31.12.9999
2403568;01.02.2018;31.12.9999
2403569;07.05.2018;31.12.9999
2403570;01.02.2016;31.12.9999
2403571;11.03.2013;31.12.9999
2403572;07.08.2013;31.12.9999
2403573;01.04.2018;31.12.9999
2403574;03.01.2001;31.12.9999
2403577;05.05.1998;31.12.9999
2403578;01.03.2010;31.12.9999
2403579;01.04.2018;31.12.9999
2403583;01.08.2016;31.12.9999
2403584;12.03.2013;31.12.9999
2403585;12.12.2005;31.12.9999
2403586;12.02.2018;31.12.9999
2403590;21.01.2004;31.12.9999
2403594;17.02.2015;31.12.9999
2403595;01.01.2016;31.12.9999
2403597;12.12.2016;31.12.9999
2403605;01.01.2016;31.12.9999
2403608;28.07.2015;31.12.9999
2403612;07.10.2016;31.12.9999
2403613;01.02.2018;31.12.9999
2403615;15.06.2012;31.12.9999
2403616;01.03.2018;31.12.9999
2403620;01.06.2013;31.12.9999
2403622;01.02.2018;31.12.9999
2403624;02.02.2010;31.12.9999
2403626;22.02.2011;31.12.9999
2403627;25.09.2012;31.12.9999
2403628;11.05.2018;31.12.9999
2403629;01.03.2018;31.12.9999
2403631;16.06.2020;31.12.9999
2403633;11.01.2016;31.12.9999
2403636;08.10.1998;31.12.9999
2403636;07.10.2016;31.12.9999
2403637;18.03.2019;31.12.9999
2403638;24.10.2017;31.12.9999
2403639;27.07.2015;31.12.9999
2403640;01.02.2018;31.12.9999
2403644;01.02.2018;31.12.9999
2403645;27.06.2016;31.12.9999
2403647;15.07.2020;31.12.9999
2403648;20.08.2018;31.12.9999
2403649;01.04.2018;31.12.9999
2403650;01.11.1999;31.12.9999
2403651;16.09.2019;31.12.9999
2403652;12.02.2018;31.12.9999
2403655;01.05.2013;31.12.9999
2403657;26.05.2014;31.12.9999
2403658;01.02.2018;31.12.9999
2403659;05.05.2010;31.12.9999
2403660;01.07.2011;31.12.9999
2403661;01.02.2016;31.12.9999
2403662;01.02.2016;31.12.9999
2403663;06.07.2020;31.12.9999
2403665;05.09.2016;31.12.9999
2403666;26.01.2017;31.12.9999
2403669;19.07.2016;31.12.9999
2403670;30.06.2018;31.12.9999
2403671;20.07.2017;31.12.9999
2403672;05.08.2013;31.12.9999
2403673;03.01.2002;31.12.9999
2403674;01.01.2020;31.12.9999
2403676;01.04.2018;31.12.9999
2403677;05.08.2014;31.12.9999
2403679;03.02.2020;31.12.9999
2403681;01.04.2018;31.12.9999
2403682;22.12.2008;31.12.9999
2403683;09.01.2017;31.12.9999
2403684;22.06.2000;31.12.9999
2403685;09.04.2018;31.12.9999
2403686;28.10.2015;31.12.9999
2403688;01.03.2018;31.12.9999
2403689;01.08.2013;31.12.9999
2403690;01.04.2018;31.12.9999
2403691;01.03.2018;31.12.9999
2403693;29.12.2016;31.12.9999
