tn;begin;end
1902336;25.07.2013;31.12.9999
1902338;23.05.2008;31.12.9999
1902339;17.04.2006;31.12.9999
1902340;20.11.2019;31.12.9999
1902341;06.12.2011;31.12.9999
1902343;21.11.2019;31.12.9999
1902345;12.12.2005;31.12.9999
1902346;13.06.2012;31.12.9999
1902347;15.10.1998;31.12.9999
1902348;01.01.2010;31.12.9999
1902350;01.11.2019;31.12.9999
1902351;21.05.2008;31.12.9999
1902352;01.11.2010;31.12.9999
1902353;09.10.2012;31.12.9999
1902353;23.12.2019;31.12.9999
1902354;31.12.2014;31.12.9999
1902356;01.01.2018;31.12.9999
1902357;27.04.2018;31.12.9999
1902359;01.01.2019;31.12.9999
1902361;11.01.2005;31.12.9999
1902362;02.07.2010;31.12.9999
1902363;18.05.2020;31.12.9999
1902364;18.11.2019;31.12.9999
1902365;01.06.2018;31.12.9999
1902366;01.01.2018;31.12.9999
1902367;01.03.2010;31.12.9999
1902367;01.01.2018;31.12.9999
1902369;20.03.2017;31.12.9999
1902370;01.01.2018;31.12.9999
1902374;03.08.2009;31.12.9999
1902375;15.05.2014;31.12.9999
1902376;01.01.2014;31.12.9999
1902377;01.02.2008;31.12.9999
1902378;01.01.2013;31.12.9999
1902380;01.06.2018;31.12.9999
1902381;14.10.2016;31.12.9999
1902382;05.05.1997;31.12.9999
1902384;23.07.2019;31.12.9999
1902385;01.04.1999;31.12.9999
1902386;29.06.2010;31.12.9999
1902387;01.01.2015;31.12.9999
1902388;01.01.2013;31.12.9999
1902389;31.08.2009;31.12.9999
1902390;01.10.2020;31.12.9999
1902391;01.10.2020;31.12.9999
1902392;01.10.2020;31.12.9999
1902393;02.06.2006;31.12.9999
1902394;12.02.2003;31.12.9999
1902395;18.03.2003;31.12.9999
1902396;01.04.2011;31.12.9999
1902398;01.01.2018;31.12.9999
1902399;01.02.2018;31.12.9999
1902400;01.02.2018;31.12.9999
1902401;01.06.2006;31.12.9999
1902402;20.02.2019;31.12.9999
1902404;01.01.2017;31.12.9999
1902405;09.02.2009;31.12.9999
1902405;01.06.2018;31.12.9999
1902406;01.10.2020;31.12.9999
1902409;01.01.2013;31.12.9999
1902409;03.05.2018;31.12.9999
1902410;03.05.2018;31.12.9999
1902412;14.01.2013;31.12.9999
1902415;01.01.2015;31.12.9999
1902418;14.08.2012;31.12.9999
1902418;01.01.2019;31.12.9999
1902419;01.01.2018;31.12.9999
1902422;09.12.2019;31.12.9999
1902423;11.11.2016;31.12.9999
1902424;01.01.2019;31.12.9999
1902425;17.05.2010;31.12.9999
1902425;01.01.2017;31.12.9999
1902426;01.01.2018;31.12.9999
1902427;20.02.2012;31.12.9999
1902427;01.02.2018;31.12.9999
1902430;03.03.2015;31.12.9999
1902431;21.11.2019;31.12.9999
1902441;01.01.2018;31.12.9999
1902442;01.01.2018;31.12.2999
1902443;01.01.2015;31.12.9999
1902444;01.10.2020;31.12.9999
1902445;04.04.2005;31.12.9999
1902447;18.09.2017;31.12.9999
1902448;01.01.2018;31.12.9999
1902449;16.05.2006;31.12.9999
1902449;11.09.2017;31.12.9999
1902450;05.06.2006;31.12.9999
1902450;01.01.2020;31.12.9999
1902451;20.10.2008;31.12.9999
1902452;17.01.2001;31.12.9999
1902453;01.01.2020;31.12.9999
1902454;01.03.2009;31.12.9999
1902456;01.01.2018;31.12.9999
1902457;01.09.2005;31.12.9999
