tn;begin;end
1402051;06.02.2017;31.12.9999
1402052;18.10.2007;31.12.9999
1402053;22.10.2012;31.12.9999
1402054;12.01.2015;31.12.9999
1402056;14.10.2013;31.12.9999
1402057;24.09.2012;31.12.9999
1402058;03.02.2014;31.12.9999
1402060;08.04.2013;31.12.9999
1402063;01.08.2019;31.12.9999
1402064;05.05.2014;31.12.9999
1402065;21.12.2017;31.12.9999
1402066;01.03.2017;31.12.9999
1402067;24.11.2014;31.12.9999
1402071;01.07.2008;31.12.9999
1402076;01.05.2016;31.12.9999
1402084;06.01.2014;31.12.9999
1402085;08.11.2016;31.12.9999
1402088;25.05.1984;31.12.9999
1402089;05.09.2018;31.12.9999
1402091;03.12.2012;31.12.9999
1402092;28.12.2015;31.12.9999
1402093;21.12.2015;31.12.9999
1402096;01.04.2020;31.12.9999
1402098;02.07.2012;31.12.9999
1402100;02.07.2012;31.12.9999
1402102;08.08.1995;31.12.9999
1402106;01.10.2012;31.12.9999
1402109;11.02.2016;31.12.9999
1402110;16.02.2009;31.12.9999
1402111;02.11.2006;31.12.9999
1402112;01.04.2013;31.12.9999
1402114;02.11.2006;31.12.9999
1402115;01.08.2019;31.12.9999
1402116;14.09.2009;31.12.9999
1402117;01.08.2017;31.12.9999
1402119;01.08.2017;31.12.9999
1402120;01.10.2015;31.12.9999
1402121;01.11.2006;31.12.9999
1402121;13.12.2019;31.12.9999
1402123;01.04.2013;31.12.9999
1402127;01.09.2017;31.12.9999
1402128;02.03.2020;31.12.9999
1402129;01.09.2017;31.12.9999
1402134;26.09.2020;31.12.9999
1402135;05.07.2012;31.12.9999
1402136;01.01.2008;31.12.9999
1402137;01.07.2012;31.12.9999
1402138;29.12.2014;31.12.9999
1402139;02.11.2006;31.12.9999
1402141;07.08.2012;31.12.9999
1402142;01.07.2017;31.12.9999
1402143;01.10.2012;31.12.9999
1402144;24.01.2020;31.12.9999
1402146;02.07.2012;31.12.9999
1402148;02.04.2012;31.12.9999
1402149;01.09.2017;31.12.9999
1402150;30.01.2014;31.12.9999
1402151;19.03.2018;31.12.9999
1402153;02.07.2012;31.12.9999
1402155;02.07.2012;31.12.9999
1402156;03.12.2018;31.12.9999
1402157;02.07.2012;31.12.9999
1402159;01.02.2002;31.12.9999
1402160;24.01.2002;31.12.9999
1402161;05.02.2002;31.12.9999
1402164;06.02.2017;31.12.9999
1402165;14.05.2014;31.12.9999
1402166;01.04.2016;31.12.9999
1402167;03.10.2005;31.12.9999
1402168;26.03.2001;31.12.9999
1402169;04.10.2016;31.12.9999
1402173;03.04.2017;31.12.9999
1402174;18.12.2018;31.12.9999
1402177;25.12.2017;31.12.9999
1402178;12.08.2019;31.12.9999
1402180;01.09.2017;31.12.9999
1402180;09.01.2020;31.12.9999
1402181;02.12.2013;31.12.9999
1402182;10.08.2015;31.12.9999
1402183;09.01.2013;31.12.9999
1402186;01.10.2012;31.12.9999
1402192;09.01.2008;31.12.9999
1402193;02.11.2006;31.12.9999
1402194;02.02.2016;31.12.9999
1402195;24.06.2013;31.12.9999
1402196;26.12.2001;31.12.9999
1402197;23.01.2012;31.12.9999
1402199;16.05.2011;31.12.9999
1402200;18.10.2010;31.12.9999
1402201;20.04.2007;31.12.9999
1402203;28.12.2006;31.12.9999
1402203;26.09.2019;31.12.9999
1402204;02.11.2006;31.12.9999
1402206;02.04.2012;31.12.9999
1402208;04.03.2015;31.12.9999
1402209;01.01.2013;31.12.9999
1402211;03.09.2012;31.12.9999
1402212;11.02.2013;31.12.9999
1402213;08.10.2018;31.12.9999
1402214;01.07.2008;31.12.9999
1402215;04.04.2019;31.12.9999
1402216;29.04.2013;31.12.9999
1402217;25.07.2018;31.12.9999
1402221;01.01.2008;31.12.9999
1402223;01.11.2007;31.12.9999
1402225;01.01.2016;31.12.9999
1402226;01.10.2013;31.12.9999
1402227;20.07.2020;31.12.9999
