rp,tn
70,605349
70,605352
70,605354
70,605355
70,605356
70,605359
70,605361
70,605362
70,605363
70,605365
70,605366
70,605368
70,605369
70,605370
70,605371
70,605372
70,605373
70,605374
70,605375
70,605376
70,605378
70,605381
70,605382
70,605383
70,605385
70,605390
70,605396
70,605397
70,605398
70,605399
70,605400
70,605401
70,605402
70,605403
70,605404
70,605405
70,605407
70,605408
70,605409
70,605410
70,605411
70,605412
70,605413
70,605414
70,605415
70,605416
70,605417
70,605418
70,605420
70,605421
70,605422
70,605426
70,605428
70,605429
70,605430
70,605432
70,605435
70,605436
70,605437
70,605438
70,605441
70,605442
70,605444
70,605446
70,605447
70,605448
70,605449
70,605450
70,605451
70,605452
70,605453
70,605454
70,605455
70,605456
70,605458
70,605460
70,605461
70,605462
70,605464
70,605466
70,605471
70,605473
70,605476
70,605477
70,605478
70,605479
70,605481
70,605482
70,605484
70,605485
70,605486
70,605488
70,605490
70,605491
70,605492
70,605493
70,605494
70,605495
70,605496
70,605497
70,605498
70,605499
70,605500
70,605501
70,605502
70,605503
70,605505
70,605506
70,605509
70,605511
70,605512
70,605514
70,605517
70,605518
70,605520
,605522
70,605522
70,605523
70,605524
70,605525
70,605527
70,605528
70,605529
70,605531
70,605532
70,605533
70,605535
70,605536
70,605537
70,605538
70,605540
70,605541
70,605542
70,605544
70,605545
70,605548
70,605549
70,605550
70,605552
70,605554
70,605555
70,605556
70,605558
70,605559
70,605560
70,605561
70,605564
70,605565
70,605566
70,605567
70,605568
70,605569
70,605570
70,605574
70,605575
70,605576
70,605577
70,605579
70,605580
70,605582
70,605583
70,605584
70,605586
70,605587
70,605588
70,605589
70,605592
70,605593
70,605597
70,605598
70,605599
70,605602
70,605603
70,605604
70,605606
70,605607
70,605608
70,605609
70,605613
70,605614
70,605615
70,605616
70,605617
70,605619
70,605620
70,605621
70,605622
70,605623
70,605624
70,605625
70,605627
70,605628
70,605631
70,605632
70,605637
70,605638
70,605639
70,605642
70,605643
70,605644
70,605645
70,605646
70,605647
70,605648
70,605649
70,605651
70,605652
70,605653
70,605654
70,605655
70,605656
70,605657
70,605658
70,605659
70,605660
70,605661
70,605662
70,605663
70,605664
70,605666
70,605667
70,605668
70,605670
70,605671
70,605673
70,605674
70,605676
70,605677
70,605678
70,605679
70,605681
70,605683
70,605685
70,605686
70,605687
70,605688
70,605690
70,605691
70,605692
70,605693
70,605694
70,605695
70,605696
70,605697
70,605698
70,605699
70,605700
70,605703
70,605705
70,605707
70,605708
70,605709
70,605710
70,605711
70,605712
70,605714
70,605715
70,605716
70,605717
70,605718
70,605719
70,605720
70,605722
70,605724
70,605726
70,605727
70,605728
70,605729
70,605732
70,605733
70,605734
70,605735
70,605736
70,605737
70,605738
70,605739
70,605740
70,605741
70,605742
70,605743
70,605744
70,605745
70,605746
70,605747
70,605748
70,605749
70,605750
70,605752
70,605753
70,605754
70,605756
70,605757
70,605759
70,605760
70,605762
70,605764
70,605765
70,605766
70,605768
70,605769
70,605772
70,605773
70,605774
70,605776
70,605777
70,605778
70,605779
70,605780
70,605781
70,605783
70,605784
70,605785
70,605786
70,605787
70,605788
70,605789
70,605790
70,605792
70,605794
70,605796
70,605797
70,605799
70,605800
70,605801
70,605802
70,605804
70,605805
70,605807
70,605808
70,605809
70,605810
70,605811
70,605812
70,605813
70,605815
70,605817
70,605818
70,605819
70,605820
70,605822
70,605823
70,605824
70,605825
70,605827
70,605830
70,605831
70,605832
70,605833
70,605834
70,605835
70,605836
70,605838
70,605842
70,605843
70,605844
70,605846
70,605848
70,605849
70,605852
70,605853
70,605854
70,605855
70,605856
70,605857
70,605858
70,605859
70,605861
70,605862
70,605866
70,605867
70,605868
70,605869
70,605870
70,605871
70,605872
70,605873
70,605874
70,605875
70,605876
70,605877
70,605878
70,605879
70,605880
70,605881
70,605882
70,605883
70,605884
70,605885
70,605886
70,605887
70,605889
70,605890
70,605891
70,605894
70,605896
70,605897
70,605898
70,605899
70,605901
70,605902
70,605903
70,605905
70,605906
70,605908
70,605909
70,605910
70,605912
70,605913
70,605914
70,605915
70,605916
70,605917
70,605918
70,605919
70,605920
70,605921
70,605922
70,605924
70,605926
70,605927
70,605928
70,605930
70,605931
70,605932
70,605933
,605934
70,605934
70,605936
70,605937
70,605938
70,605939
70,605941
70,605943
70,605944
70,605945
70,605947
70,605949
70,605950
70,605952
70,605953
70,605954
70,605955
70,605956
70,605957
70,605958
70,605959
70,605960
70,605961
70,605962
70,605963
70,605964
70,605968
70,605969
70,605970
70,605971
70,605973
70,605974
70,605977
,605978
70,605978
70,605981
70,605982
70,605983
70,605984
70,605986
70,605988
70,605989
70,605991
70,605992
70,605993
70,605994
70,605996
70,605997
70,605998
70,606002
70,606003
70,606005
70,606006
70,606007
70,606008
70,606009
70,606010
70,606011
70,606013
70,606014
70,606015
70,606016
70,606017
70,606018
70,606019
70,606021
70,606022
70,606023
70,606026
70,606027
70,606028
70,606029
70,606030
70,606031
70,606032
70,606033
70,606035
70,606036
70,606037
70,606038
70,606039
70,606044
70,606045
70,606049
70,606051
70,606052
70,606054
70,606055
70,606056
70,606057
70,606058
70,606060
70,606062
70,606063
70,606064
70,606065
70,606066
70,606068
70,606069
70,606071
70,606075
70,606076
70,606078
70,606082
70,606083
70,606084
70,606087
70,606089
70,606090
70,606091
70,606092
70,606093
70,606094
70,606095
70,606098
70,606100
70,606101
70,606102
70,606104
70,606105
70,606106
70,606107
70,606108
70,606110
70,606111
70,606112
70,606113
70,606114
70,606116
70,606117
70,606118
70,606120
70,606121
70,606125
70,606126
70,606127
70,606128
70,606129
70,606132
70,606134
70,606136
70,606137
70,606138
70,606139
70,606141
70,606143
70,606144
70,606145
70,606146
70,606147
70,606151
70,606152
70,606154
70,606155
70,606157
,606158
70,606158
70,606159
70,606161
70,606162
70,606163
70,606164
70,606165
70,606166
70,606167
70,606168
70,606169
70,606170
70,606171
70,606172
70,606173
70,606174
70,606176
70,606177
70,606179
70,606181
70,606190
70,606196
70,606198
70,606199
70,606200
70,606201
70,606202
70,606203
70,606204
70,606206
70,606207
70,606209
,606212
70,606212
70,606213
70,606214
70,606219
70,606220
70,606222
70,606223
70,606224
70,606225
70,606226
70,606228
70,606229
70,606230
70,606231
70,606232
70,606235
70,606236
70,606237
70,606238
70,606239
70,606240
70,606241
70,606242
70,606243
70,606244
70,606247
70,606248
70,606249
70,606250
70,606251
70,606252
70,606253
70,606254
70,606256
70,606257
70,606258
70,606259
70,606261
70,606262
70,606263
70,606265
70,606267
70,606270
70,606271
70,606273
70,606276
70,606278
70,606279
70,606280
70,606281
70,606282
70,606283
70,606284
70,606285
70,606286
70,606291
70,606292
70,606293
70,606294
70,606295
70,606297
70,606298
70,606299
70,606300
70,606303
70,606304
70,606305
70,606306
70,606309
70,606310
70,606311
70,606312
70,606313
70,606314
70,606315
70,606316
70,606317
70,606318
70,606320
70,606321
70,606322
70,606323
70,606324
70,606325
70,606326
70,606327
70,606328
,606329
70,606329
70,606330
70,606331
70,606332
70,606334
70,606335
70,606336
