tn;begin;end
2000969;04.10.2010;31.12.9999
2000970;01.07.2019;31.12.9999
2000971;01.04.2013;01.01.2099
2000972;01.11.2013;01.01.2099
2000973;27.06.2011;01.01.2099
2000974;08.10.2007;01.01.2099
2000975;18.12.2017;01.01.2099
2000977;01.04.2019;31.12.9999
2000978;01.01.2011;31.12.2099
2000979;03.06.2009;01.01.2099
2000980;01.01.2018;01.01.2099
2000981;01.05.2019;31.12.9999
2000982;14.09.2009;01.01.2099
2000984;01.06.2017;31.12.9999
2000985;28.05.2020;31.12.9999
2000986;01.05.2003;01.01.2099
2000988;26.04.2018;31.12.9999
2000989;01.02.2015;31.12.9999
2000990;01.05.2019;31.12.9999
2000991;07.11.2017;01.01.2099
2000991;01.11.2014;31.12.9999
2000992;01.01.2015;01.01.2099
2000993;18.07.2019;31.12.9999
2000996;01.01.2007;01.01.2099
2000997;01.04.2016;01.01.2099
2000998;01.08.2010;01.01.2099
2000999;01.01.2015;01.01.2099
2001000;12.08.2009;01.01.2099
2001001;01.09.2015;31.12.9999
2001002;01.01.2015;01.01.2099
2001003;01.05.2017;01.01.2099
2001004;01.05.2018;31.12.9999
2001005;01.06.2019;31.12.9999
2001007;21.12.2009;01.01.2099
2001008;01.06.2014;31.12.9999
2001010;01.12.2015;01.01.2099
2001011;01.05.2019;31.12.9999
2001012;03.09.2010;01.01.2099
2001013;30.09.2016;31.12.9999
2001014;01.07.2019;31.12.9999
2001015;17.10.2011;01.01.2099
2001016;01.01.2015;01.01.2099
2001017;01.09.2014;31.12.9999
2001018;01.12.2018;31.12.9999
2001019;15.08.2014;01.01.2099
2001020;01.08.2015;01.01.2099
2001021;01.07.2010;01.01.2099
2001022;11.01.2011;01.01.2099
2001023;01.11.2008;01.01.2099
2001024;08.07.2008;01.01.2099
2001024;01.01.2014;31.12.9999
2001026;20.12.2005;01.01.2099
2001026;04.08.2008;31.12.9999
2001027;18.06.2008;01.01.2099
2001028;05.05.2015;01.01.2099
2001029;02.01.2020;31.12.9999
2001030;01.10.2005;01.01.2099
2001032;01.02.2010;01.01.2099
