rp;tn;begin;end
70;602714;24.09.2010;31.12.9999
70;602714;01.01.2013;31.12.9999
70;602714;01.01.2014;31.12.9999
70;602715;01.07.2014;31.12.9999
70;602715;01.04.2019;31.12.9999
70;602716;24.04.2008;31.12.9999
70;602717;01.07.2014;31.12.9999
70;602717;01.04.2019;31.12.9999
70;602718;01.01.2011;31.12.9999
70;602718;01.12.2014;31.12.9999
70;602720;01.01.2013;31.12.9999
70;602720;01.01.2017;31.12.9999
70;602720;01.11.2017;31.12.9999
70;602720;13.09.2020;31.12.9999
70;602722;21.04.2010;31.12.9999
70;602725;02.03.2015;31.12.9999
70;602725;15.02.2016;31.12.9999
70;602725;01.09.2020;31.12.9999
70;602730;01.10.2011;31.12.9999
70;602730;16.04.2014;31.12.9999
70;602730;01.07.2014;31.12.9999
70;602731;21.09.2009;31.12.9999
70;602732;09.01.2020;31.12.9999
70;602733;01.01.2010;31.12.9999
70;602733;01.02.2016;31.12.9999
70;602737;01.01.2013;31.12.9999
70;602739;30.10.2020;31.12.9999
70;602743;08.09.2008;31.12.9999
70;602743;01.01.2020;31.12.9999
70;602746;02.12.2019;31.12.9999
70;602747;14.11.2016;31.12.9999
70;602748;01.03.2016;31.12.9999
70;602748;01.01.2019;31.12.9999
70;602748;01.04.2019;31.12.9999
70;602750;07.10.2013;31.12.9999
70;602753;01.09.2017;31.12.9999
70;602753;22.01.2019;31.12.9999
70;602758;27.05.2013;31.12.9999
70;602760;14.02.2005;31.12.9999
70;602760;01.01.2013;31.12.9999
70;602760;03.03.2015;31.12.9999
70;602760;30.03.2020;31.12.9999
70;602761;01.01.2018;31.12.9999
70;602764;16.05.2011;31.12.9999
70;602764;04.05.2016;31.12.9999
70;602771;01.01.2014;31.12.9999
70;602774;25.05.2005;31.12.9999
70;602776;17.06.2004;31.12.9999
70;602776;17.12.2013;31.12.9999
70;602777;01.09.2015;31.12.9999
70;602777;16.04.2020;31.12.9999
70;602778;05.01.1999;31.12.9999
70;602778;28.07.2014;31.12.9999
70;602778;22.12.2016;31.12.9999
70;602778;20.06.2018;31.12.9999
70;602778;01.05.2019;31.12.9999
70;602780;01.10.2015;31.12.9999
70;602784;01.01.2013;31.12.9999
70;602785;18.03.2013;31.12.9999
70;602785;01.09.2015;31.12.9999
70;602786;01.01.2017;31.12.9999
70;602787;01.02.2018;31.12.9999
70;602790;02.10.2013;31.12.9999
70;602790;04.06.2020;31.12.9999
70;602791;15.11.2010;31.12.9999
70;602791;01.01.2020;31.12.9999
70;602793;22.04.2010;31.12.9999
70;602796;01.01.2017;31.12.9999
70;602798;11.02.2013;31.12.9999
70;602799;01.02.2011;31.12.9999
70;602802;01.01.2017;31.12.9999
70;602802;16.06.2017;31.12.9999
70;602802;03.12.2019;31.12.9999
70;602803;21.09.2006;31.12.9999
70;602803;10.04.2017;31.12.9999
70;602804;21.12.2016;31.12.9999
70;602804;01.01.2019;31.12.9999
70;602804;01.05.2019;31.12.9999
70;602807;01.01.2020;31.12.9999
70;602808;08.08.2011;31.12.9999
70;602808;17.07.2014;31.12.9999
70;602808;01.01.2016;31.12.9999
70;602810;01.03.2010;31.12.9999
70;602810;25.02.2013;31.12.9999
70;602810;01.01.2015;31.12.9999
70;602810;23.02.2017;31.12.9999
70;602812;01.08.2000;31.12.9999
70;602814;01.01.2010;31.12.9999
70;602814;27.11.2020;31.12.9999
70;602815;17.11.2017;31.12.9999
70;602816;17.02.2005;31.12.9999
70;602818;01.02.2011;31.12.9999
70;602820;06.04.2018;31.12.9999
70;602823;15.02.2010;31.12.9999
70;602823;01.01.2017;31.12.9999
70;602825;01.01.2017;31.12.9999
70;602825;06.03.2017;31.12.9999
70;602825;01.09.2017;31.12.9999
70;602826;01.01.2013;31.12.9999
70;602826;13.11.2015;31.12.9999
70;602826;21.09.2020;31.12.9999
70;602827;05.12.2019;31.12.9999
70;602828;16.09.2019;31.12.9999
70;602829;22.05.2007;31.12.9999
70;602829;02.10.2009;31.12.9999
70;602829;30.06.2015;31.12.9999
70;602830;22.11.2012;31.12.9999
70;602830;11.02.2013;31.12.9999
70;602830;03.03.2014;31.12.9999
70;602830;01.01.2017;31.12.9999
70;602830;01.01.2018;31.12.9999
70;602832;01.12.2015;31.12.9999
70;602832;01.01.2017;31.12.9999
70;602832;02.11.2020;31.12.9999
70;602833;02.07.2018;31.12.9999
