tn;begin;end
1801460;25.06.2008;31.12.9999
1801461;10.01.2008;31.12.9999
1801462;01.01.2019;31.12.9999
1801465;04.07.2005;31.12.9999
1801467;23.09.2005;31.12.9999
1801468;01.04.2013;31.12.9999
1801469;06.07.2020;31.12.9999
1801470;01.11.2012;31.12.9999
1801472;11.07.2016;31.12.9999
1801473;12.01.2009;31.12.9999
1801474;10.12.2018;31.12.9999
1801475;08.09.2014;31.12.9999
1801476;26.10.2015;31.12.9999
1801477;26.03.2020;31.12.9999
1801479;18.04.2014;31.12.9999
1801480;07.03.2013;31.12.9999
1801482;01.04.2004;31.12.9999
1801484;22.10.2003;31.12.9999
1801493;17.07.2014;31.12.9999
1801499;11.05.2012;31.12.9999
1801500;01.04.2018;31.12.9999
1801501;05.01.1997;31.12.9999
1801502;15.08.2019;31.12.9999
1801504;08.08.2014;31.12.9999
1801505;09.12.2010;31.12.9999
1801506;04.11.2019;31.12.9999
1801509;01.01.2010;31.12.9999
1801513;01.09.2005;31.12.9999
1801517;21.03.2016;31.12.9999
1801519;19.04.2012;31.12.9999
1801520;02.06.2008;31.12.9999
1801521;22.02.2019;31.12.9999
1801522;01.01.2019;31.12.9999
1801525;06.03.2015;31.12.9999
1801529;01.06.2000;31.12.9999
1801530;08.09.2014;31.12.9999
1801531;01.01.2016;31.12.9999
1801532;09.01.2014;31.12.9999
1801533;05.06.2020;31.12.9999
1801534;28.08.2019;31.12.9999
1801535;07.04.2014;31.12.9999
1801536;23.12.2019;31.12.9999
1801537;16.01.2017;31.12.9999
1801538;01.01.2016;31.12.9999
1801539;15.09.2016;31.12.9999
1801541;06.05.2011;31.12.9999
1801542;01.01.2019;31.12.9999
1801543;01.01.2019;31.12.9999
1801544;12.10.2015;31.12.9999
1801545;27.03.2017;31.12.9999
1801546;15.12.2014;31.12.9999
1801548;19.02.2002;31.12.9999
1801549;14.07.2017;31.12.9999
1801550;24.06.2008;31.12.9999
1801551;01.01.2015;31.12.9999
1801552;28.01.2016;31.12.9999
1801554;28.01.2020;31.12.9999
1801555;19.09.2012;31.12.9999
1801556;01.06.2012;31.12.9999
1801559;01.04.2020;31.12.9999
1801560;25.10.2011;31.12.9999
1801561;21.08.2013;31.12.9999
1801562;05.08.2019;31.12.9999
1801563;30.08.2016;31.12.9999
1801565;09.08.2019;31.12.9999
1801566;10.10.2007;31.12.9999
1801567;15.02.2019;31.12.9999
1801568;01.01.2019;31.12.9999
1801569;19.11.2018;31.12.9999
1801570;01.01.2019;31.12.9999
1801575;01.02.2016;31.12.9999
1801576;18.05.1993;31.12.9999
1801577;27.05.2010;31.12.9999
1801578;20.05.2010;31.12.9999
1801579;03.08.2020;31.12.9999
1801580;12.11.2019;31.12.9999
1801581;01.01.2019;31.12.9999
1801582;16.12.2011;31.12.9999
1801583;26.12.2011;31.12.9999
1801584;01.02.2012;31.12.9999
1801585;16.07.2014;31.12.9999
1801587;16.03.2020;31.12.9999
1801589;11.09.2017;31.12.9999
1801591;01.01.2016;31.12.9999
1801594;04.04.2005;31.12.9999
1801595;01.04.2020;31.12.9999
1801596;01.01.2019;31.12.9999
1801597;01.01.2019;31.12.9999
1801598;07.09.2011;31.12.9999
1801600;01.02.2015;31.12.9999
1801604;02.03.2020;31.12.9999
1801607;11.12.2015;31.12.9999
1801608;01.02.2013;31.12.9999
1801611;28.05.2009;31.12.9999
1801612;12.05.2016;31.12.9999
1801613;29.12.2009;31.12.9999
1801614;16.04.2018;31.12.9999
1801615;02.11.2018;31.12.9999
1801623;07.08.2017;31.12.9999
1801624;08.10.2012;31.12.9999
1801625;25.12.2014;31.12.9999
1801627;05.10.2012;31.12.9999
1801628;26.08.2019;31.12.9999
1801630;07.07.2017;31.12.9999
1801632;01.12.2010;31.12.9999
1801632;03.03.2016;31.12.9999
1801634;04.04.2019;31.12.9999
1801635;29.09.2014;31.12.9999
1801639;26.11.1997;31.12.9999
1801640;03.11.2005;31.12.9999
1801643;01.10.2020;31.12.9999
1801644;01.09.2005;31.12.9999
1801646;20.01.2020;31.12.9999
1801648;03.02.2014;31.12.9999
1801649;01.08.2017;31.12.9999
1801651;03.02.2020;31.12.9999
1801653;18.06.2018;31.12.9999
1801654;01.01.2019;31.12.9999
1801655;01.01.2019;31.12.9999
1801656;01.02.2019;31.12.9999
1801657;01.01.2019;31.12.9999
1801658;01.01.2019;31.12.9999
1801659;01.01.2019;31.12.9999
1801660;01.01.2019;31.12.9999
1801661;01.01.2019;31.12.9999
1801664;18.02.2019;31.12.9999
1801667;07.09.2020;31.12.9999
1801668;24.09.2007;31.12.9999
1801669;21.03.2011;31.12.9999
1801670;30.08.2010;31.12.9999
1801672;10.08.2010;31.12.9999
1801674;23.05.2003;31.12.9999
1801676;01.01.2017;31.12.9999
1801677;17.11.2004;31.12.9999
1801679;01.01.2019;31.12.9999
1801680;01.01.2019;31.12.9999
1801684;01.01.2019;31.12.9999
1801685;24.06.2019;31.12.9999
1801687;10.09.2008;31.12.9999
1801689;01.11.2008;31.12.9999
1801694;01.01.2019;31.12.9999
1801695;10.12.2009;31.12.9999
1801696;22.07.2013;31.12.9999
1801697;06.09.2007;31.12.9999
1801697;01.01.2019;31.12.9999
1801698;15.09.2014;31.12.9999
1801700;15.12.2010;31.12.9999
1801701;01.02.1993;31.12.9999
1801703;11.07.2019;31.12.9999
1801705;17.03.2009;31.12.9999
1801706;17.02.2017;31.12.9999
1801707;22.06.2015;31.12.9999
1801708;01.04.2014;31.12.9999
1801709;05.03.2018;31.12.9999
1801710;04.09.2002;31.12.9999
1801711;25.06.2008;31.12.9999
1801712;02.07.2018;31.12.9999
1801713;01.11.2011;31.12.9999
1801714;17.11.2017;31.12.9999
1801715;29.06.2020;31.12.9999
1801716;03.10.2013;31.12.9999
1801717;17.03.2005;31.12.9999
1801717;01.11.2011;31.12.9999
1801718;01.01.2019;31.12.9999
1801719;26.05.2014;31.12.9999
1801721;23.11.2007;31.12.9999
1801722;03.08.2018;31.12.9999
1801723;01.01.2010;31.12.9999
1801724;27.12.2019;31.12.9999
1801726;07.06.2010;31.12.9999
1801727;25.02.2009;31.12.9999
1801727;08.08.2014;31.12.9999
1801730;16.07.2020;31.12.9999
1801731;22.06.2020;31.12.9999
1801732;05.02.2014;31.12.9999
1801735;23.01.2015;31.12.9999
1801736;22.05.2017;31.12.9999
1801737;04.09.2007;31.12.9999
1801738;05.01.1997;31.12.9999
1801739;04.07.2012;31.12.9999
1801740;26.07.2016;31.12.9999
1801741;01.03.2012;31.12.9999
1801744;03.09.2009;31.12.9999
1801745;05.03.2012;31.12.9999
1801746;01.09.2007;31.12.9999
1801746;01.01.2009;31.12.9999
1801747;01.10.2018;31.12.9999
1801748;15.02.2019;31.12.9999
1801749;12.05.2016;31.12.9999
1801750;13.06.2012;31.12.9999
1801752;28.07.2010;31.12.9999
1801753;30.12.2011;31.12.9999
1801754;09.04.2018;31.12.9999
1801755;07.07.2020;31.12.9999
1801757;26.01.2009;31.12.9999
1801757;01.08.2019;31.12.9999
1801758;10.02.2017;31.12.9999
1801759;22.02.2006;31.12.9999
1801763;01.01.2019;31.12.9999
1801765;01.01.2019;31.12.9999
1801766;28.09.2011;31.12.9999
1801768;01.01.2019;31.12.9999
1801769;24.08.2012;31.12.9999
1801770;28.04.2009;31.12.9999
1801771;29.05.2017;31.12.9999
1801772;28.04.2008;31.12.9999
1801773;01.01.2019;31.12.9999
1801774;28.01.2013;31.12.9999
1801775;21.10.2019;31.12.9999
1801777;17.06.2019;31.12.9999
1801779;14.07.2017;31.12.9999
1801780;20.07.1999;31.12.9999
1801781;01.01.2019;31.12.9999
1801782;09.11.2011;31.12.9999
1801783;11.07.2018;31.12.9999
1801784;01.01.2019;31.12.9999
1801787;25.10.2018;31.12.9999
1801788;01.01.2019;31.12.9999
1801790;05.06.2006;31.12.9999
1801791;01.03.2011;31.12.9999
1801792;12.11.2019;31.12.9999
1801795;17.02.2015;31.12.9999
1801796;18.11.2008;31.12.9999
1801797;01.03.2011;31.12.9999
1801798;28.06.2019;31.12.9999
1801801;25.11.2011;31.12.9999
1801803;01.11.2019;31.12.9999
1801804;01.01.2009;31.12.9999
1801805;24.10.2014;31.12.9999
1801805;14.11.2014;31.12.9999
1801805;17.06.2019;31.12.9999
1801806;01.12.1995;31.12.9999
1801807;19.06.2007;31.12.9999
1801808;20.11.2014;31.12.9999
1801809;09.04.2018;31.12.9999
1801810;01.11.2019;31.12.9999
1801812;24.03.2015;31.12.9999
1801813;13.06.2018;31.12.9999
1801814;01.04.2015;31.12.9999
1801815;12.08.2019;31.12.9999
1801816;28.07.2010;31.12.9999
1801817;22.07.2014;31.12.9999
1801818;24.03.2015;31.12.9999
1801819;25.12.2008;31.12.9999
1801820;11.07.2019;31.12.9999
1801821;25.08.2014;31.12.9999
1801822;01.02.2008;31.12.9999
1801824;26.05.2015;31.12.9999
1801825;22.05.2019;31.12.9999
1801826;06.04.2015;31.12.9999
1801829;19.04.2010;31.12.9999
1801830;01.01.2020;31.12.9999
1801831;27.05.2014;31.12.9999
1801832;01.01.2019;31.12.9999
1801833;27.09.2016;31.12.9999
1801834;22.08.2013;31.12.9999
1801835;01.08.2018;31.12.9999
1801836;15.01.2011;31.12.9999
1801840;03.08.2012;31.12.9999
1801841;03.12.2019;31.12.9999
1801842;28.06.2019;31.12.9999
1801844;02.04.2012;31.12.9999
1801845;01.01.2019;31.12.9999
1801847;01.01.2019;31.12.9999
1801848;01.01.2019;31.12.9999
1801849;05.11.2019;31.12.9999
1801850;08.05.2015;31.12.9999
1801851;09.03.2017;31.12.9999
1801852;08.06.2011;31.12.9999
1801853;15.09.2014;31.12.9999
1801856;01.01.2019;31.12.9999
1801858;24.06.2019;31.12.9999
1801859;18.10.2017;31.12.9999
1801862;09.11.2017;31.12.9999
1801864;18.12.2007;31.12.9999
1801868;01.01.2019;31.12.9999
1801871;11.11.2014;31.12.9999
1801872;06.07.2009;31.12.9999
1801873;04.02.2013;31.12.9999
1801874;07.07.2014;31.12.9999
1801874;13.05.2019;31.12.9999
1801875;11.03.2014;31.12.9999
1801876;14.12.2016;31.12.9999
1801880;12.11.2010;31.12.9999
1801881;20.07.2020;31.12.9999
1801882;14.12.2016;31.12.9999
1801884;13.01.2009;31.12.9999
1801885;01.01.2019;31.12.9999
1801886;10.07.2014;31.12.9999
1801887;11.11.2013;31.12.9999
1801888;04.06.2014;31.12.9999
1801889;20.08.2010;31.12.9999
1801890;06.02.2017;31.12.9999
1801892;11.03.2005;31.12.9999
1801893;17.06.2020;31.12.9999
1801894;12.05.2015;31.12.9999
1801895;01.08.2018;31.12.9999
1801896;08.11.2005;31.12.9999
1801897;01.07.1995;31.12.9999
1801898;28.09.2018;31.12.9999
1801899;12.10.2020;31.12.9999
1801900;30.12.2011;31.12.9999
1801901;26.10.2017;31.12.9999
1801902;07.02.2011;31.12.9999
1801904;28.07.2016;31.12.9999
1801906;25.09.2014;31.12.9999
1801908;28.01.2016;31.12.9999
1801909;28.01.2016;31.12.9999
1801910;10.07.2015;31.12.9999
1801911;22.06.2006;31.12.9999
1801912;04.10.2017;31.12.9999
1801914;18.04.2012;31.12.9999
1801914;04.07.2013;31.12.9999
1801915;12.05.2020;31.12.9999
1801916;13.11.2012;31.12.9999
1801918;20.09.2011;31.12.9999
1801919;01.02.2019;31.12.9999
1801920;26.10.2018;31.12.9999
1801921;17.08.2009;31.12.9999
1801923;19.09.2011;31.12.9999
1801924;18.07.2011;31.12.9999
1801926;23.05.2014;31.12.9999
1801928;26.10.2017;31.12.9999
1801929;01.11.2011;31.12.9999
1801930;03.11.2009;31.12.9999
1801931;01.09.2003;31.12.9999
1801932;12.08.2019;31.12.9999
1801936;06.08.2019;31.12.9999
1801937;24.04.2018;31.12.9999
1801939;01.01.2010;31.12.9999
1801940;12.12.2006;31.12.9999
1801941;12.01.2005;31.12.9999
1801942;04.06.2001;31.12.9999
1801946;27.07.2012;31.12.9999
1801948;10.07.2012;31.12.9999
1801950;02.11.2015;31.12.9999
1801952;19.12.2016;31.12.9999
1801953;26.08.2019;31.12.9999
1801954;09.01.2008;31.12.9999
1801955;20.03.2013;31.12.9999
1801956;11.11.2004;31.12.9999
1801958;04.02.2010;31.12.9999
1801959;27.06.2008;31.12.9999
1801960;28.09.2004;31.12.9999
1801961;17.06.2020;31.12.9999
1801963;13.05.2008;31.12.9999
1801964;23.11.2010;31.12.9999
1801965;28.04.2009;31.12.9999
1801966;26.04.2002;31.12.9999
1801967;20.04.2006;31.12.9999
1801968;03.07.2002;31.12.9999
1801969;01.03.2011;31.12.9999
1801970;12.07.2005;31.12.9999
1801971;01.03.2011;31.12.9999
1801972;01.03.2011;31.12.9999
1801973;04.10.2011;31.12.9999
1801974;29.12.2011;31.12.9999
1801975;12.08.2019;31.12.9999
1801976;08.07.2020;31.12.9999
1801977;21.08.2018;31.12.9999
1801978;29.01.2010;31.12.9999
1801979;09.07.2020;31.12.9999
1801980;11.07.2007;31.12.9999
1801981;11.01.2016;31.12.9999
1801982;29.10.2014;31.12.9999
1801983;21.01.2015;31.12.9999
1801984;20.11.2015;31.12.9999
1801986;31.12.2013;31.12.9999
1801987;01.04.2013;31.12.9999
1801988;02.11.1998;31.12.9999
1801989;07.10.2014;31.12.9999
1801990;23.07.2015;31.12.9999
1801991;28.10.2014;31.12.9999
1801993;10.11.2014;31.12.9999
