tn;begin;end
901125;01.08.2020;31.12.9999
901128;01.04.2020;31.12.9999
901129;12.09.2012;31.12.9999
901129;01.09.2015;31.12.9999
901133;06.05.2013;31.12.9999
901133;10.12.2019;31.12.9999
901142;01.07.2014;31.12.9999
901145;01.04.2020;31.12.9999
901148;02.05.2012;31.12.9999
901149;06.11.2015;31.12.9999
901150;01.06.2015;31.12.9999
901151;12.09.2011;31.12.9999
901151;01.02.2016;31.12.9999
901152;29.07.2013;31.12.9999
901152;01.02.2016;31.12.9999
901154;15.08.2013;31.12.9999
901155;01.04.2020;31.12.9999
901157;01.07.2015;31.12.9999
901158;04.12.2017;31.12.9999
901160;07.11.2019;31.12.9999
901161;01.04.2020;31.12.9999
901162;01.08.2020;31.12.9999
901165;15.06.2020;31.12.9999
901168;13.12.2019;31.12.9999
901169;01.06.2015;31.12.9999
901170;15.12.2010;31.12.9999
901170;01.04.2020;31.12.9999
901171;09.08.2010;31.12.9999
901172;01.10.2012;31.12.9999
901173;09.12.2019;31.12.9999
901174;01.04.2019;31.12.9999
901175;14.01.2010;31.12.9999
901175;01.07.2015;31.12.9999
901175;01.01.2016;31.12.9999
901177;20.04.2011;31.12.9999
901177;01.01.2016;31.12.9999
901177;02.12.2019;31.12.9999
901179;01.04.2020;31.12.9999
901180;08.05.2019;31.12.9999
901182;20.08.2020;31.12.9999
901183;02.07.2012;31.12.9999
901183;18.11.2019;31.12.9999
901190;17.09.2012;31.12.9999
901191;09.11.2018;31.12.9999
901192;23.11.2011;31.12.9999
901192;01.01.2016;31.12.9999
901192;03.12.2018;31.12.9999
901193;01.04.2020;31.12.9999
901194;01.01.2016;31.12.9999
901195;01.04.2020;31.12.9999
901196;09.12.2019;31.12.9999
901197;27.01.2004;31.12.9999
901197;29.12.2014;31.12.9999
901199;27.01.2003;31.12.9999
901199;19.05.2014;31.12.9999
901200;06.12.2000;31.12.9999
901200;14.02.2011;31.12.9999
901202;16.02.2004;31.12.9999
